feeAmount,feeCode,feeCurrency,feeDescription,feeSign,feeType,institutionReference,transactionId
2.97,FEE01,MAD,Fee for tx 1,D,NETWORK,BANK03,1
3.31,FEE02,MAD,Fee for tx 2,C,PROCESSING,BANK02,2
0.76,FEE03,USD,Fee for tx 3,C,NETWORK,BANK04,3
4.06,FEE04,MAD,Fee for tx 4,D,STANDARD,BANK04,4
2.27,FEE05,USD,Fee for tx 5,D,STANDARD,BANK03,5
0.89,FEE06,USD,Fee for tx 6,C,NETWORK,BANK04,6
4.00,FEE07,USD,Fee for tx 7,D,PROCESSING,BANK04,7
2.63,FEE08,USD,Fee for tx 8,D,NETWORK,BANK01,8
4.01,FEE09,USD,Fee for tx 9,C,STANDARD,BANK03,9
3.12,FEE10,USD,Fee for tx 10,D,STANDARD,BANK05,10
